Number of occurrences (+-),POS,Lemma,Morph,Morph corrected phonetics,Gloss,замечания (ОТВЕТ НА НЕГО ПИШИТЕ КОММЕНТАРИЕМ К ЯЧЕЙКЕ),Context,ft,Transcription,Source
1,pron,ha,habi-š-dɨ;ha-biš-dɨ,ha-biš-dɨ,that-OBL.HPL-ATTR,,()      Salman (Salman)      baba (grandfather)       ()      jiɣc'ɨr-a-χdɨ (seventy-OBL-LOC)      sen (year)      ješemiš (life)      ruʔu-r=a (4.go.IPFV-CVB=be)       ()      ǯü-dɨ (REFL.OBL-ATTR)      ʔuˤmur (life)      w-uruʔu-r=a (3-go.IPFV-CVB=be)      idda=na (sweet=ADD)       ()      sa (one)      si-now-kan (all-OBL-COMIT)      muhubade (in.a.friendly.way)      huˤrmet-di-kan (respect-OBL-COMIT)      ? ()      ješemiš (life)      d-uruʔu-r=a (HPL-go.IPFV-CVB=be)      haʔa-s (4.do.IPFV-INF)      habi-š-dɨ (he.PL-OBL.PL-ATTR)       ()      ʔuˤmur (life)      muˤɢw-a (village-LOC)      la<w>urda-r=a (PV<3>end.IPFV-CVB=be)      sinbi-š-dɨ (all.PL.OBL.PL-ATTR)      ʁiʔiʁ-a-d (today-OBL-ATTR)      jɨˤʁ-χɨr (day-?)      jɨˤʁ (day)       ()      aferin-waldɨ (thank-ABSTR)      w-ɨlc'a-r=a (3-give.IPFV-CVB=be)      Hawalaj (Havalay)      babai-s (granny.OBL-DAT)      na (AND)      Miχri (Mihri)      babai-s (granny.OBL-DAT),"Салман баба, под семьдесят живет, его жизнь проходит сладко, друг с другом, дружно, уважительно, таких людей жизнь в селе заканчивается, спасибо отдается Авалай бабушке и Михри бабушке","A Salman baba, jiɣc'ɨraχda sen ješemiš ruʔura, ǯüda uˤmur wuruʔura iddana sasunuwɨkan muhubade hurmɨdikan ješemiš duruʔura haʔasadbišdɨ, uˤmur muˤɢwa lawurdara sin bišdɨ ʁiʔiʁad jiʁχɨr jɨˤr aferin wɨrc'ara Awalaj babaisna Miχri babais ",kna_muhammadshafi05_1_6_18latin
1,pron,ha,ha-biš-e,ha-biš-e,that-OBL.HPL-ERG,,"   ha-biš-e  (that-OBL.HPL-ERG)      ile-r=a  (4.eat.IPFV-CVB=be)      raˤʁa-r=a  (4.drink.IPFV-CVB=be)      kef  (pleasure)      haʔa-r=a,  (4.do.IPFV-CVB=be)      wɨ  (you)      gaˤš-dɨ  (hungry-ATTR)      hi-ji-χda  (that-OBL.N-SUB.ESS)      suk'ut'i  (quiet)      xur=xwa. (QUOT=ADD)   ","Они едят-пьют, кайфуют, а ты почему (из-за чего) голодным сидишь?","Habiše ilera raˤʁara kef haʔara, wɨ gaˤšdɨ hijiχda suk'ut'i xur=xwa. ",kna_2018_17_gljh_1942latin
2,pron,ha,ha-biš-is;ha-biši-s,ha-biši-s,that-OBL.HPL-DAT,,deg-ɨ-je=xa (den-obl-in(ess)=add)      deg-ɨ-je (den-obl-in(ess))      ha-biš-is (that-obl.pl-dat)      ha-d (that-atr)      rɨš (girl)      ha<r>urga-r=a (<2>see-cvb=be)      mi (this)      gad-ij-es (guy-obl-dat)      mi-d (this-atr)      rɨš (girl)      r-ɨga-r=a (2-want-cvb=be)      r-iši-r (2-become.pfv-cvb)      haj-a (there-el)      ʁa-ʔ (out-lat)      ʁ-eč'u-r (out-move-cvb)      mi (this)      gad-ije-ra (guy-obl-erg)      ruxʷa-r=a (say.pfv-cvb=be)      za-d (I.obl-erg)      hɨ-dɨ-nuw-da (?-atr-obl-apud(ess))      χudku-r (ask-cvb)      his (why)      mi-sa (this-mnr)      hišitixu-jne (?-temp2)      ha-nuw (that-obl)      huxu-r (say.ipfv-cvb)      ruxa-r=a (say.pfv-cvb=be)      iz-dɨ (I.atr-atr)      χatir (offend)      adgɨ (?)      hɨʔɨ-d (do.pfv-atr)      duqun (large)      iz-dɨ (I.atr-atr)      χɨnimer (children)      haʔa (do.imp)      qe-ʁ-ǯ-e<d>qu-d (re-out-neg-<npl>let.go-atr)      duqun (large)      ha (that)      uble-ši (wolf.obl-obl.pl)      ha-biš-is (that-obl.pl-dat)      aman (safe)      hɨwɨ-s-dɨš (give-inf-no),"в этом шалаше они увидели эту девочку, и один из них влюбился в неё""оттуда вышел этот парень и спросил у женщины: почему так случилось, и она ответила: пока они будут меня оскорблять и не оставят моих детей в покое, эти волки им покоя не дадут""",degɨje xa degɨje habišis had rɨš harurgara mi gadijes mid rɨš rɨgara riširhaja ʁaʔ (ʁ)reč'ur mi gadijera ruxara zad hɨdɨnuwda xudkur his misa hišitixujne hanuwxa huxur ruxara izdɨ χatir adgɨd hɨʔɨ duqun izdɨ χinimer haʔa geʁǯedqud duqun ha ubleši habišis aman hɨwɨsdiš,180722_0090
1,pron,ha,ha-biš-eχda;ha-biše-χda;ha-biš-iχda,ha-biši-χda,that-OBL.HPL-SUB.ESS,,wɨš (they)      ruʔu-r=a (1.become.pfv-cvb=be)      ha-biš-eχda (that-obl.pl-post(lat))      oxotnik-e-r (hunter-obl-erg)      {slrr} ()      oxotnik-e-r (hunter-obl-erg)      du-ruʔu-r=a (HPL-become.pfv-cvb=be)      ??? (),"они приходят, охотники приходят к ним",wɨš ruʔura habišeχda oxotiker oxotiker duruʔura,180722_0090
7,pron,ha,ha-bɨr,ha-bɨr,that-PL,,iǯilas (meet)      ha<w>ɨ-r (<3>do.pfv-cvb)      karawur (?)      всё равно ()      mada (again)      ha-bɨr (that-pl)      dagul (steal)      haʔa-r=a (4.do.ipfv-cvb=be)      ile-r=a (eat-cvb=be)      hiši-r=a (1.become.pfv-cvb=be)      ha-bɨr (that-PL)      hɨχ-dɨ (good-ATTR)      insan-ar (men-PL)      d-iʔi (HPL-COP1)      urus-ar-xa (Russian-PL-ADD)      ha-bɨr (that-PL)      q-ɨʔɨ-r (RE-do.PFV-CVB)      ki<r>χa-r=a (<4>mix.IPFV-CVB=be)      gɨrc-bɨr (varenik-PL)      si<j>č'u-ǯu-n (<4>overboil.IPFV-NEG-NMLZ)      badanna (for)       ()      ha-bɨr (that-PL)       ()      lɨzɨd (dough)       hɨʔɨ-d-ʲa-quʔ (4.do.PFV-ATTR-IN.EL-BACKWARD)      qɨˤrki-d-кал-ды (hot.OBL-ATTR-SIMIL-ATTR)      xie-kan (water.OBL-COM)      lɨzɨd (dough)      haʔa-r=a (4.do.IPFV-CVB=be)      edemi-je-da (man-Obl-Ad.El)      edemi (man)      k-iχ-ɨˤ-jne (cont-1.hit-PFV-TEMP)      edemi-r (man-ERG)      edemi (man)      j-ɨχ-ɨˤ-r (1-hit-PFV-CVB)      j-iq'e (1-die.IMP)      karɨʔɨ-ne (happen.PFV-TEMP)      ha-bɨr (that-PL)      d-aʔa-r=a (HPL-do.IPFV-CVB=be)      sürgü-n (eject-NMLZ)      ɢanlɨ-je-r (killer-Obl-ERG)      r-uxa-r=a (IPFV-say.IPFV-CVB=be)      ha-biš-da (that-Obl.PL-Loc)      muˤɢ-a(a) (village-In.El)      ehelьǯɨ-r (move.PFV-CVB)      d-ɨgadi (HPL-must)      ha-bɨr (that-PL)       ()      ehelьǯ-u-r (move-PFV-CVB)      ma-d-dɨ (be.alien-4-ATTR)      muˤɢ-a (village-Loc)      d-ɨk-ɨs (HPL-become-INF),"они предпринимают все усилия, но всё равно опять крадёт и кушает""Они хорошие люди были, русские.""""Специи добавляем, перемешиваем.""""Чтобы вареники не разварились, после того, как все это сделали, чуть теплой воды в тесто добавляем.""""Если человек человека застрелил, или человек человека убил, их выселяют""""Убийцы (люди, у которых на руках кровь), они выезжают из села в другое село, чтоб там жили""","iǯilas hawɨr karawur всё равно mada habɨr dagul haʔara ilera iširahabɨr hɨχdɨ insanar diʔi urusarxahabɨr qɨʔɨr kirχara""gɨrcbɨr sičuǯun badanna habɨr lɨzɨd hɨʔɨdʲaquʔ, qɨˤrkidkaldɨ xiekan lɨzɨd haʔara""edemijeda edemi kiqɨjne edemiera edemi jɨˤχɨˤr jiq'e kar hɨʔɨne habɨr daʔara sürgün ɢanlɨjer ruxara habišda muˤɢa eʁelč'ur dɨgadi habɨr ehelьč'ur maddɨ muˤɢa dɨkɨs ",180722_0090180724_0081_18-10-18kna_maisarat02.textgridPolina_text_s_Saadi_TextGridlatin
3,pron,ha,had;ha-d;hai-d,ha-d,that-ATTR,,ha (that)      rɨš (girl)      ʁa-ʔ (out-lat)      ʁ-e<r>i-r (out-<2>?-cvb)      ǯig-ɨj=xa (place-obl(???)=add)       ()      had (that)      rɨš (girl)      ubl-i-ra (wolf-obl-erg)      dagul (steal)      r-aʔa-r=a (2-do.ipfv-cvb=be),"когда выгнали эту девочку, волк её похитил",ha rɨš ʁaʔ ʁerir ǯigɨj xa had rɨš ublira dagul raʔara,180722_0090
1,pron,hada,ha-da,ha-da,where-LOC,,()      ʁɨrčeqan-a-ši-s (hunter-OBL-OBL.PL-DAT)      gɨˤ<d>χɨˤ-jne (<HPL>meet.up.PFV-TEMP2)      mi(j)? (here)      χu<l>ka-r=a (<HPL>ask.-CVB=be)      hileʔ (where)      du-ruʔu-r=a (HPL-go.IPFV-CVB=be)      hej (hey)      rišij-mar (sister-PL)      šiwi (what)      huxu-jne (1.say.PFV-TEMP2)      ruxu-r=a (1.say.IPFV-CVB=be)      gwalaχ (job)       ()      sa (one)      xɨw-a (bread-OBL)      tike (slice)      xɨw-a-d (bread-OBL-ATTR)      ɢazamiš (income)      haʔa-s (4.do.IPFV-INF)      du-ruʔu-r=a (HPL-come.IPFV-CVB=be)      {nrzb}xɨw-a-d (bread-OBL-ATTR)      ha-da (where-LOC)      hila-dɨ-bɨr (where.from?-ATTR-PL)      d-iʔi (HPL-COP1)      wallaχ (by.god)      mij (here)      muˤɢ-aˤ-dɨ (village-LOC-ATTR)      d-iʔi (HPL-COP1)       (),"Охотники спросили у них """"куда вы идете, женщины?"""" мы идем заработать кусок хлеба, """"а откуда вы сами?"""" """"мы из какого-то села""""",ʁɨrčakanašis gɨˤtχɨˤjne mij χulkara hileʔ duruʔura hej rišijmar šiwi xujne wala sa xɨwad tike xɨwad ɢazamiš haʔas duruʔura hada hiljadɨbɨr diʔi wala miʔ muɢadɨ diʔi,kna_muhammadshafi05_1_6_18latin
1,pron,ha,ha-ja;haj-a,ha-ja;haj-a,there-EL,,ha-ja (there-EL)      quʔ (backward)      si<l>χera (<APL>put.IPFV-CVB=be)      le<b>ču-r=a (<4>take.IPFV-CVB=be)      hu (???)      hɨʔɨ-d-baj-dɨ (4.do.IPFV-ATTR-CONTR-ATTR)       ()      uq'-bɨr (grass-PL)      ara (INSIDE.ESS)      i<l>χe-r=a (<APL>put.IPFV-CVB=be)      t'ile-ma (dough-LIM),"Ее убираем в сторону, берем то, что приготовлеno, траву в кружочки кладем.","haʲa k'u silχera, lebčura hu hɨʔɨdbajdɨ, uq'bɨr ara ilχera t'ilema",kna_maisarat02.textgrid
1,pron,ha,hai-kan;haj-kan;ha-ji-kan,ha-ji-kan,that-OBL.N-COM,"переслушать, не .N же? глянуть контекст. может нож",hai-kan (that.OBL-COMT)      t'ile-bɨr (dough-PL)      aʁa<b>ʁu-r=a (<4>round.slice-ATTR),С ней вареники режем.,haikan t'ilebɨr ahabʁura.,kna_maisarat02.textgrid
1,pron,ha,ha-ji-kʷan,ha-ji-kʷan,that-OBL.N-COM,,()      dʲuz-dɨ (just-atr)      kar (thing)      haʔ (do.imp)      xu-r (say.pfv-cvb)      xa (add)      ha-ji-kʷan (that-obl-comit)      ki-na (cont:cop2-cvb*)      rɨχ (go.imp.m)      wɨ (you)      ješemiš j-iš (live 1-become.imp)      {wɨ?} (you),Правильное сделай что-нибудь и живи с этим.,dʲüzdɨ kar haʔ xur xa hajikʷan kina{?} rɨχ wɨ ješemiš jiš {wɨ?},180722_0171
2,pron,ha,haji-la;ha-ji-la;hajila;hajilʲa;haila,ha-ji-la,that-OBL.N-SUPER.EL,,haji-la (what.obl-el)      za-da (I.obl-apud(ess))      biš-is (obl.pl-dat)      derde (situation)      hawɨ-r (give.pfv-cvb)      a (be)      haji-la (what.obl-el)      ix-dɨ (we.atr-atr)      č'abal-iši-k (sheep-obl.pl-cont)      mal-di-k (cattle-obl-cont)      q-ewita-r-diš (re-bother-cvb-no)      ha-d (that-atr)      uble (wolf.pl)      ha (that)      mad-dɨ (be.alien-atr)      biš-dɨ (obl.pl-atr)      dagul (steal)      haʔa-r=a (4.do.ipfv-cvb=be),"я им рассказала свою ситуацию, из-за этого волки не трогали наших овец и коров, а у других она крала",hajila zada bišis derde hawɨra hajila ixdɨ č'abališik maldik qewitardiš had uble ha madɨ bišdɨ dagul haʔara,180722_0090
1,pron,ha,ha-now,ha-now,that-OBL.H(ERG),"не понял с гласными - почему то так, то так",sijende ()      gʷalaχ (job)      hawɨr (<3>do.PFV-CVB)      ha-now (that-OBL)      je (we)      q'ɨx-e (grow-IMP)      d-ɨʔɨ-r (HPL-do.PFV-CVB),Везде работала она. Нас вырастила,sijende gʷalaχ hawɨr hanow je q'ɨxedɨʔɨr,180724_0081_18-10-18
1,pron,ha,ha-naw-a;ha-now-a,ha-now-a,that-OBL.H-ERG,,ha-naw-a (that-OBLH-ERG)      gaš-e-kʷan (hunger-OBL-COMIT)      mɨq'-ɨ-kʷan (mɨq'-OBL-COMIT)      haa-sa-kal (that-MNR-SIMIL)      q'ix-e (grow-IMP)      d-ɨʔɨ-r (HPL-do.PFV-CVB)      had (that-ATTR)      χɨnɨ-m-er (child-OBL.PL-PL),"Она с трудом, с голодом и с холодом, вырастила этих детей.",hanawa gašekʷan mɨq'ɨkʷan haasakal q'ɨxe dɨʔɨr had χɨnɨmer,180724_0081_18-10-18
1,pron,ha,ha-nuw-\i-k;ha-nowɨ-k,ha-nowɨ-k,that-OBL.H-INTER.ESS,"не понял с гласными - почему то так, то так",wiX-d\i- (you.PL-ATTR)      ulixda (in.front)      sa (one)      gunah (sin)      kar (thing)      ha-nuw-\i-k  (?)       ki-diš (?-NO),"Перед вами она безгрешна, у нее нету",wiXd\i- ulixda sa gunah kar hanuw\i-k kidiš,Magomedshapi_Nina_glossed_23_07latin
1,pron,ha,ha-nɨwɨ-s;ha-nowɨ-s,ha-nowɨ-s,that-OBL.H-DAT,переслушать на всякий,"   njah  (???)      ha-nɨwɨ-s (that-OBL.H-DAT)      za-d  (I-ERG)      t'it'  (nipple)      ki-wɨ-s-dɨ  (SURF-give(?)-INF-ATTR)      χotja  (although[R])      sa  (one)      hadan  (???)      za-d  (I-ERG)      uˤχuˤ-n  (1.keep.PFV-MSD)      badana,  (for)      sa  (one)      elig  (???)      q-ɨʔɨ-n  (RE-1.do.PFV-MSD)      badana,  (for)      ha-d  (that-ATTR)      χɨnɨχ  (child)      za-d,  (I-ERG)      we-χ (you.PL-SUB.ESS)      we-χda=xa  (you.PL-SUB.ESS=ADD)      šudda  (how.much)      kirx (SURF-??? (= просить))      minnat  (request)      w-aʔa-r=a  (3-do.IPFV-CVB-be)      kar  (thing)      hɨkɨsɨ  (4.become-INF-FUT)      xur=xa,  (QUOT=ADD)      sa  (one)      hadan  (???)      uˤχuˤ-s  (1.keep-INF)      za-d  (I-ERG)      zɨ=xa  (I=ADD)      uˤ<r>uˤχuˤ-n  (<2>keep.PFV-MSD)      badana  (for)      xur=xa (QUOT=ADD)      za-d  (I-ERG)      ha-d  (that-ATTR)      χa-ʁu-r=xa, (PV-1.throw.PFV-CVB=ADD)      Аllah-a-d  (Allah-OBL-ATTR)      uliχda  (in.front)      iz-dɨ  (I.OBL-ATTR)      jüzüqara  (sinner)      jiʔi  (COP2(?))      xur=xa. (QUOT=ADD)   ","Вместо того чтобы его кормить, лучше я за старшим присмотрю, сколько можно у вас просить, умолять, чтобы одного сохранить и себя сохранить я его бросила, перед Богом я согрешила(?).","njah hanɨ wɨs zad t'it' kiwɨsdɨ χotja sa hadan zad uˤχuˤn badana, sa elig qɨʔɨn badana, had χɨnɨχ zad, weχda xa šudda kirx... minnat waʔara kar hɨkɨsɨ xurxa, sa hadan uˤχuˤs zad zɨxa uˤruˤχuˤn badana xur xa zad had χaʁur xa, Allahad uliχda izdɨ jüzü qara jiʔi xurxa ",muhammad_shafi_4latin
3,pron,ha,ha-nuw,ha-nuw,that-OBL.H(ERG),"не понял с гласными - почему то так, то так",haj-a-quʔ (there(ESS)-EL-backwards)      ha-nuw (that-ERG)      ǯi-dɨ (self-ATTR)      χɨni-m-er (child-OBL.PL-PL)      q'ɨx-e (grow-IMP)      d-ɨʔɨ-r (HPL-do.PFV-CVB)      ǯi-dɨ (self-ATTR)      haar (each)      sa (one)      ǯu-du (1.self-ATTR)      jer-aa (place-IN.EL)      ledek'a-d-ɨʔɨ-r (?-HPL-do.PFV-CVB)      d-ɨʔɨ-de-k-la-q'uʔ (HPL-do.PFV-?-INTER-EL-backwards),"После этого она своих детей вырастила, каждого на свое место доставила",hajaqu hanuw ǯidɨ xɨnimer q'ɨxe dɨʔɨr ǯidɨ haʔarsa ǯudu jera ledek'adɨʔɨr dɨʔɨdeklaq'uʔ,180724_0081_18-10-18
3,pron,ha,ha-nuw-a,ha-nuw-a,that-OBL.H-ERG,,ha-nuw-a (that-OBL-ERG)      maˤʔlim-waldɨ (teacher-ABSTR)      wɨʔɨt'i (???)      Kusur-aʔa (Kusur-DOWN.ESS)      начальных ()      xur (Q)      klassa-d (class.OBL-ART)      hajzalaχɨ (???)      kučlid (???)      xur=χa (QUOT-ADD)      sa (one)      telebe (pupil)      ani  (be-CVB)      i (COP2)      xur=χa (QUOT-ADD)      telebe (pupil)      это ()      ученик ()      telebe (pupil)      a-ni (be-CVB)      mihdab (school)      telebe (pupil)      ha-nuw-a (that-OBL-ERG)      ǯubed (???)      dars-bɨr  (lesson-PL)      hɨwɨ-r=a-j (4.give.PFV-CVB=be)      huχu-r=a (1.say.PFV-CVB=be)      sa (one)      šešun (nothing)      programma (plan)      quga<d>gɨ-r (<4>miss.PFV-CVB)      a-diš (be-CVB)      i (COP2),"Он был учителем начальных классов в Кусуре.""Один ученик был, лучше меня вел уроки, даже от программы не отстал."""," Hanuwa maˤʔlimwaldɨ wɨʔɨt'i Kusuraʔa начальных xur klassad.""hajzalaχɨ kučlid xurχa sa telebe ani i xurχa (телебе - это ученик) telebe ani i mixdab telebe, hanuwa ǯubed darsbɨr hɨwɨraj huχura sa šešun programma qugadgɨr adiš i.""",kna_said02
1,pron,ha,ha-nuw-d\i-;ha-nuw-dɨ,ha-nuw-dɨ,that-OBL.H-ATTR,,ham\i-  (now)      xu-r=xa (say.PFV-CVB=ADD)      . (.)      hetin (that)      jiz-d\i-  (1SG.OBL-ATTR)      suruXla-d\i-  (?-ADD)      wakin ()      ha-nuw-d\i-  (this-OBL-ATTR)      suruXlad\i-  (?-ADD)      wakil (?),"Сейчас говорит тот с моей стороны ?, с ее стороны ? сказала","ham\i- xurxa hetin, jizd\i- suruXlad\i- wakin hanuwd\i- suruXlad\i- wakil uxurxa ",Magomedshapi_Nina_glossed_23_07latin
1,pron,ha,ga-sa;ha-sa;h-a-s-a,ha-sa,that-MNR,переслушать на всякий,"   zɨ=xa  (I=ADD)      ga-sa  (that-MNR)      dawat-mɨ-k  (wedding-OBL.PL-INTER.ESS)      k-i<r>xu-r  (PV-<1>put(?).PFV-CVB(AOR))      xur,  (QUOT)      jak-ušir  (morning-???)      xur=xwa (QUOT=ADD)      ile-r=a  (4.eat.IPFV-CVB=be)      raˤʁa-r=a  (4.drink.IPFV-CVB=be)      kef-di-k  (pleasure-OBL-INTER.ESS)      ki-ni  (SURF.be-CVB)      jiʔi  (1.COP1)      xu-jne. (say.PFV-COND)   ","Я тоже так же на свадьбу попал, ел-пил, кайфовал.","Зɨ=xa gasa dawatmɨk kirxur xur, jakušir xur=xwa ilera raˤʁara kefdik kini jiʔi xujne. ",kna_2018_17_gljh_1942latin
1,pron,ha,haʔa-s=a;haa-sa;ha:-sa,ha:-sa,that-MNR,,hamɨʔ (now)      mi-d (this-atr)      rɨš (girl)      rɨš-e-ra (girl-obl-erg)      fikir (think)      w-aʔa-r=a (3-do.ipfv-cvb=be)      gad-ije-ra (guy-obl-erg)      rɨš-e-da (girl-obl-apud(ess))      ruxa-r=a (say.pfv-cvb=be)      wɨ (you)      r-ɨrɨx (2-go.imp)      ha-d (that-atr)      ubl-eš-da (wolf.pl-obl.pl-apud(lat))      χu<d>ka (<nhpl>ask.imp)      his (why)      haʔa-s=a (4.do.ipfv-inf=be)      haʔa-d-ijden (4.do.ipfv-atr-irr)      xur (quot),"сейчас эта девушка думает, этот парень говорит девушке: иди и спроси у волков, почему они так делают",hamɨʔ mid rɨš rɨšera fikir waʔara gadijera rɨšeda ruxara wɨrɨrɨx ublešda χudka his haʔasa haʔadijden,180722_0090
1,pron,ha,hasa-d;ha:-sa-d,ha:-sa-d,that-MNR-ATTR,,χɨnimer (children)      d-iši-r=xa (hpl-become.pfv-cvb=add)      mi (this)      hasa-d (such-atr)      ǯiga-bɨr (place-pl)      i=xa (cop2=add)      mal (cattle)      q'ad (chicken)      dawar (cow)      balana (many)      gilta-d=xa (have.a.pet-atr=add)       ()      haj (threr)      ʁaʔ (outside.lat)      hasa-d (such-atr)      č'irč'ik (field.pl(?))      a-ni i (be-cvb cop2)      hasa-d (such-atr)      ǯiga-bɨr (places-pl)      a (be)      hasa-d (such-atr)      haj (there)      ʁaʔ (outside.lat)      xač (blueberrǧ)      ruʔu-r=a (go.ipfv-cvb=be)       (),"дети рождаются, такие места где есть скот, куры, коровы, много заведено""У нас есть такие места, где растет черника.""","χɨnimer diširxa mi hasad ǯigabɨr i xa mal, q'ad, dawar balana giltad xahaj ʁaʔ hasad č'irč'ik aniʔi hasad ǯigabɨr a hasad haj ʁaʔ xač ruʔura",180722_0090180725_0187_ludmila
1,v,wuruʔus,hapχɨ-r;ha<p>χɨˁ-r,ha<p>χɨˁ-r,<3>go.PFV-CVB,,??? (???) sa (one) waχt (time) hapχɨ-r (go.pfv.3-cvb),Опять сказал -- время ушло (опять сказал),???<misa uquχur> sa waχt ʁaˤpχɨr <mada kuχur> (nazile uslɨšala tolko pro waχt),kna_muzafer06
1,v,waʔas,ha<r>ɨ-r=a-d,ha<r>ɨ-r=a-d,<2>do.pfv-cvb=be-ATTR,что за форма?? rɨʔɨr должно быть,ubl-i-ra (wolf-obl-erg)      dagul (steal)      ha<r>ɨ-r=a-d (<2>do.pfv-cvb=be-atr)      rɨš (girl)       ()      ubl-i-ra (wolf-obl-erg)      nʲekʲ (milk)      wɨlc'a-r=a (4.give.ipfv-cvb=be)      ǯi-dɨ (self.OBL.NM-atr)      hile (where)      rɨgɨ<r>gɨ-r (<2>bring-cvb),"волк похитил эту девочку, начал кормить своим молоком в своём логове",ublira dagul harɨrad rɨš ublira neki wɨlc'ara ǯiddɨ hile rɨgɨrgɨr,180722_0090
1,v,waʔas,hawɨr;ha<w>ɨ-r;hawɨ-r,ha<w>ɨ-r,<3>do.PFV-CVB,,gedeɢ (watch.imp.hpl) xu-r (say.ipfv-cvb) ǯaˤmaaˤtira (people-obl-comit) mi (this) sa (one) ruʔu-d (be.ipfv.1-cvb) diš (neg) xu-r (say.ipfv-cvb) χotʲa (at-least) sa (one) iǯlas (gathering) hawɨr (do-) h-ɨga-d (1-want.ipfv-atr) i (go.ipfv) sa (one),"Смотрите, говорит, народ, так не пойдет. Надо одно собрание сделать.",gedeɢ xur ǯaˤmaaˤtira misa ruʔud diš xur χotʲa sa iǯlas hawɨr hɨgad i sa,kna_muzafer06
2,v,waʔas,ha<w>ɨ-r=xa,ha<w>ɨ-r=xa,<3>do.PFV-CVB=ADD,,"   ha<w>ɨ-r=xa  (<3>do.PFV-CVB(AOR)=ADD)      kašir  (porridge)      mij-a,  (here-EL)      ha<w>ɨ-r=xa  (do<3>.PFV-CVB(AOR)=ADD)      mi-bɨr  (this-PL)      alütkür  (spare)      s-e<t>χɨ-r=xwa. (PV-<HPL>fall.asleep.PFV-CVB(AOR)=ADD)   ",Сделали они сейчас кашу и легли спать.,"Гьawɨr=xa kašir mija, hawɨr=xa mibɨr alütkür setχɨr=xwa. ",kna_2018_17_gljh_1942latin
1,pron,ha,ha-sa-d;haa-sa-d,haa-sa-d,that-MNR-ATTR,долгота?,ha-sa-d (that-mnr-atr)      uq'ulʲa (old)      zaman (time)      nin-dɨ (mother-atr)      je-s (we-dat)      ix-dɨ (we.atr-atr)      baba-je (grandmother-erg)      babadid-e (grandfather-erg)      hɨʔɨ-d (4.do.pfv-atr)      aqɨjed (tale)      i (cop2)       (),"эта нам рассказывают в старые времена наша бабушка, дедушка сказки",hasad uq'ulä zaman nindɨ jes ixdɨ babaje babadide hɨʔɨd aqɨjed i,180722_0090
2,pron,ha,haa-sa-kal,haa-sa-kal,that-MNR-SIMIL,долгота?,ha-naw-a (that-OBLH-ERG)      gaš-e-kʷan (hunger-OBL-COMIT)      mɨq'-ɨ-kʷan (mɨq'-OBL-COMIT)      haa-sa-kal (that-MNR-SIMIL)      q'ix-e (grow-IMP)      d-ɨʔɨ-r (HPL-do.PFV-CVB)      had (that-ATTR)      χɨnɨ-m-er (child-OBL.PL-PL),"Она с трудом, с голодом и с холодом, вырастила этих детей.",hanawa gašekʷan mɨq'ɨkʷan haasakal q'ɨxe dɨʔɨr had χɨnɨmer,180724_0081_18-10-18
1,pron,har,haar,haar,each,,haj-a-quʔ (there(ESS)-EL-backwards)      ha-nuw (that-ERG)      ǯi-dɨ (self-ATTR)      χɨni-m-er (child-OBL.PL-PL)      q'ɨx-e (grow-IMP)      d-ɨʔɨ-r (HPL-do.PFV-CVB)      ǯi-dɨ (self-ATTR)      haar (each)      sa (one)      ǯu-du (1.self-ATTR)      jer-aa (place-IN.EL)      ledek'a-d-ɨʔɨ-r (?-HPL-do.PFV-CVB)      d-ɨʔɨ-de-k-la-q'uʔ (HPL-do.PFV-?-INTER-EL-backwards),"После этого она своих детей вырастила, каждого на свое место доставила",hajaqu hanuw ǯidɨ xɨnimer q'ɨxe dɨʔɨr ǯidɨ haʔarsa ǯudu jera ledek'adɨʔɨr dɨʔɨdeklaq'uʔ,180724_0081_18-10-18
1,pron,haar,haar-nowɨ-χda,haar-nowɨ-χda,each-OBL.H-SUB.ESS,,haar-nowɨ-χda (each-OBL.H-SUB.ESS)      ixʲ-dɨ (we-ATTR)      ǯu-du (self.2-ATTR)      semja (family)      w-iši-r (3-become-CVB),У каждой из нас своя семья была.,haarnowɨxda ixʲdɨ ǯudu semja wišir,180724_0081_18-10-18
1,pron,?,haara,haara,?,,xaiš  (request)      haara ()      mi ()      sad ()      kar ()      jii ()      . (.)      ibram=xa (ibram=ADD)      ruxa-r-a (say.IPFV-CVB-AUX1)      bala (many)      muq|-ud  (village-ATTR)      sir (secret)       u|rxu|-d (save.PFV-ATTR)      ab\i-r-l\i- (decent-ADJ)      haja-l\i- (sincere-ADJ)      edemi (man),"Просьбу делаю вам тоже. Ибрам хранит сельские секреты, порядочный, добросовестный человек.","xaiš haara waxda xa. Ibram xa ruxara bala muq|ud sir u|rxud, ab\i-rl\i-, hajal\i- edemi jii ",Magomedshapi_Nina_glossed_23_07latin
